iter	Passed	Remaining
685	3800	1739
686	3812	1736
687	3820	1732
688	3825	1726
689	3829	1720
690	3834	1714
691	3839	1708
692	3844	1703
693	3849	1697
694	3853	1691
695	3858	1685
696	3864	1679
697	3868	1673
698	3873	1668
699	3878	1662
700	3883	1656
701	3887	1650
702	3892	1644
703	3897	1638
704	3901	1632
705	3906	1626
706	3911	1620
707	3915	1614
708	3920	1609
709	3925	1603
710	3930	1597
711	3934	1591
712	3939	1585
713	3944	1579
714	3948	1573
715	3953	1568
716	3958	1562
717	3962	1556
718	3967	1550
719	3972	1544
720	3976	1538
721	3981	1533
722	3986	1527
723	3990	1521
724	3995	1515
725	4000	1509
726	4004	1503
727	4009	1498
728	4014	1492
729	4018	1486
730	4023	1480
731	4028	1474
732	4033	1469
733	4038	1463
734	4043	1457
735	4048	1452
736	4052	1446
737	4057	1440
738	4062	1434
739	4067	1428
740	4071	1423
741	4076	1417
742	4081	1411
743	4085	1405
744	4090	1400
745	4095	1394
746	4099	1388
747	4104	1382
748	4109	1377
749	4113	1371
750	4118	1365
751	4123	1359
752	4127	1354
753	4132	1348
754	4137	1342
755	4141	1336
756	4146	1330
757	4150	1325
758	4155	1319
759	4160	1313
760	4164	1308
761	4169	1302
762	4174	1296
763	4178	1290
764	4183	1285
765	4187	1279
766	4192	1273
767	4197	1267
768	4201	1262
769	4206	1256
770	4211	1250
771	4216	1245
772	4220	1239
773	4225	1233
774	4230	1228
775	4235	1222
776	4239	1216
777	4244	1211
778	4249	1205
779	4255	1200
780	4259	1194
781	4264	1188
782	4269	1183
783	4274	1177
784	4278	1171
785	4283	1166
786	4287	1160
787	4292	1154
788	4297	1149
789	4301	1143
790	4306	1137
791	4311	1132
792	4315	1126
793	4320	1120
794	4325	1115
795	4330	1109
796	4334	1104
797	4339	1098
798	4344	1092
799	4348	1087
800	4353	1081
801	4358	1075
802	4362	1070
803	4367	1064
804	4371	1059
805	4376	1053
806	4381	1047
807	4385	1042
808	4390	1036
809	4395	1030
810	4399	1025
811	4404	1019
812	4409	1014
813	4414	1008
814	4418	1003
815	4423	997
816	4427	991
817	4432	986
818	4437	980
819	4442	975
820	4446	969
821	4451	963
822	4456	958
823	4460	952
824	4465	947
825	4470	941
826	4475	936
827	4480	930
828	4484	925
829	4489	919
830	4494	914
831	4499	908
832	4503	902
833	4508	897
834	4513	891
835	4518	886
836	4522	880
837	4527	875
838	4532	869
839	4537	864
840	4542	858
841	4546	853
842	4551	847
843	4556	842
844	4561	836
845	4565	831
846	4570	825
847	4575	820
848	4580	814
849	4585	809
850	4589	803
851	4595	798
852	4599	792
853	4604	787
854	4609	781
855	4614	776
856	4618	770
857	4623	765
858	4628	759
859	4633	754
860	4638	748
861	4642	743
862	4647	737
863	4652	732
864	4656	726
865	4661	721
866	4667	715
867	4672	710
868	4676	705
869	4681	699
870	4686	694
871	4690	688
872	4695	683
873	4700	677
874	4704	672
875	4709	666
876	4714	661
877	4719	655
878	4723	650
879	4728	644
880	4733	639
881	4737	633
882	4742	628
883	4747	622
884	4752	617
885	4756	612
886	4761	606
887	4766	601
888	4771	595
889	4776	590
890	4780	584
891	4785	579
892	4790	573
893	4794	568
894	4799	563
895	4804	557
896	4808	552
897	4813	546
898	4818	541
899	4822	535
900	4827	530
901	4832	525
902	4836	519
903	4841	514
904	4846	508
905	4851	503
906	4856	497
907	4860	492
908	4865	487
909	4870	481
